Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
1,2,0,0,1,1,2,0,1,2,1,1,0,1,1,1,1,1,1
3,3,1,1,3,1,0,1,3,3,0,1,0,1,3,1,0,2,3
1,1,2,1,1,2,1,2,1,1,0,1,0,1,1,0,0,1,2
2,1,1,0,1,1,2,0,1,2,0,1,0,1,2,1,1,1,2
1,2,2,1,2,3,3,0,2,3,1,3,2,1,0,2,3,1,0
3,3,0,0,2,1,2,0,2,3,1,2,0,3,2,1,0,3,3
1,2,2,2,1,3,2,0,1,1,3,2,2,1,1,2,1,3,2
1,1,3,2,1,0,0,2,1,1,2,0,1,1,0,2,0,1,2
3,3,1,0,3,0,3,0,2,2,0,0,1,2,2,1,0,2,3
1,2,2,0,3,0,2,0,3,3,1,3,1,2,2,1,0,2,1
2,3,0,0,2,3,1,0,2,2,1,0,1,3,2,1,2,2,3
1,1,3,2,1,3,2,2,1,2,2,2,0,2,1,2,1,1,1
1,2,3,0,1,0,0,0,2,3,0,0,1,1,2,0,0,2,2
1,1,1,1,1,1,0,1,1,2,2,1,2,1,1,1,2,1,1
2,2,1,1,2,0,1,1,2,2,2,1,0,1,2,1,0,2,2
1,2,3,1,2,3,2,1,2,2,3,3,0,1,2,2,1,2,2
2,2,1,0,3,1,3,1,3,2,1,0,0,3,2,1,0,2,3
1,2,2,1,1,2,1,0,2,2,0,1,1,1,1,1,1,1,2
2,2,1,1,3,2,1,1,2,2,1,1,0,2,3,1,0,2,2
1,1,1,2,1,2,0,1,1,1,2,2,1,0,2,2,0,1,1
1,1,2,1,0,3,1,2,1,0,2,2,2,1,0,3,1,0,0
1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,1,0,2,3
1,2,1,1,1,3,2,1,3,3,2,2,1,2,2,1,3,2,2
2,3,1,1,1,0,0,0,1,2,0,0,3,1,2,0,0,1,1
1,1,2,2,1,0,1,1,1,2,1,1,1,0,1,1,2,2,1
3,2,2,1,1,1,1,0,2,1,1,1,0,2,1,1,0,2,2
2,2,1,0,2,1,2,0,2,3,1,1,1,3,2,0,0,2,3
2,2,1,0,0,1,2,0,2,2,1,0,0,2,2,1,0,2,2
2,3,2,1,2,1,1,0,2,3,1,2,2,1,2,1,1,2,3
2,2,1,0,1,0,2,0,1,1,1,0,0,3,2,2,0,1,2
2,2,1,2,3,1,0,0,2,3,2,0,0,1,2,1,0,2,1
1,2,1,0,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2
3,3,0,0,3,1,1,0,3,3,0,0,0,3,2,1,0,3,3
2,1,0,1,2,0,1,0,2,1,0,1,0,2,2,1,0,2,2
0,2,2,0,2,1,0,0,2,2,2,0,0,0,1,1,0,2,2
2,2,1,0,3,0,2,0,3,2,0,0,0,3,3,0,0,2,3
2,2,1,0,3,3,0,1,3,2,1,0,0,2,2,0,0,1,1
2,2,2,0,2,1,1,1,2,2,2,0,1,1,2,1,2,2,2
1,1,1,2,2,2,1,1,0,1,1,1,2,0,1,2,1,1,2
1,2,2,1,1,3,0,1,1,1,2,1,1,1,1,2,0,1,1
1,2,3,3,2,1,2,1,2,2,3,0,0,0,2,3,0,2,2
2,3,1,1,3,1,3,0,1,3,1,0,1,3,2,0,3,3,3
2,2,1,1,2,2,1,0,3,1,0,0,1,2,1,0,0,2,3
1,2,1,0,2,1,1,0,1,2,1,0,1,1,2,1,0,2,2
1,1,1,1,1,1,0,2,1,1,1,1,3,1,1,2,2,1,1
1,1,2,3,0,0,0,2,0,1,2,3,3,0,0,2,2,1,1
2,1,1,0,2,1,0,1,2,1,1,0,0,1,1,1,0,2,2
1,2,3,0,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2
2,1,1,1,2,0,2,1,2,2,0,0,1,1,1,1,0,2,1
1,2,3,3,2,3,0,3,0,1,3,2,3,0,1,3,3,2,2
1,2,3,0,1,1,0,0,1,2,1,0,0,1,1,1,0,2,2
3,2,1,1,3,1,3,0,2,2,0,2,0,3,2,0,0,2,3
1,2,2,1,1,3,1,2,1,2,1,0,1,1,0,1,1,1,1
2,2,3,2,2,3,2,2,1,2,0,0,2,1,0,1,0,1,2
2,2,1,1,3,1,2,0,1,2,0,0,0,2,1,1,1,2,2
1,0,3,2,0,2,1,3,0,0,2,2,3,1,1,2,1,1,0
1,1,2,1,1,3,0,0,1,1,2,0,1,0,1,1,0,1,2
0,2,3,0,1,3,1,2,1,3,3,3,1,1,1,3,3,0,0
2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,2,2,1,0,2,0,2,0,0,1,2,1,2,3,2
1,0,2,2,1,3,1,2,1,0,2,1,2,0,0,2,1,0,0
1,1,2,0,3,1,1,1,2,2,1,1,0,1,2,2,0,2,2
0,1,2,2,0,1,0,2,0,1,2,1,2,0,1,2,1,0,0
1,2,2,1,3,1,2,0,2,2,1,0,0,2,2,1,1,3,3
1,1,1,0,3,0,1,0,2,2,2,0,1,1,1,1,0,3,3
1,1,1,0,0,2,0,1,1,0,2,1,0,0,0,2,0,0,1
1,1,1,1,2,2,1,0,2,0,2,0,0,1,2,1,2,3,2
0,0,3,2,1,2,1,3,1,0,3,2,3,0,1,3,2,1,1
2,2,1,0,2,1,1,0,2,2,1,0,0,1,2,1,0,2,2
2,1,1,1,2,1,0,0,1,2,0,0,0,1,2,1,0,1,1
1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0
1,0,1,1,1,1,1,1,1,2,2,2,1,0,1,1,0,1,2
2,2,3,0,2,2,1,3,2,2,3,0,0,0,1,2,0,2,2
1,1,2,2,1,1,1,2,1,2,2,1,1,0,1,1,1,1,1
2,3,1,0,2,0,1,1,2,1,1,0,0,2,1,1,0,2,2
2,2,1,1,2,2,0,1,2,2,0,1,0,0,3,1,0,1,1
3,2,0,0,2,1,2,0,2,2,0,0,0,3,2,0,0,2,2
1,2,1,0,2,0,0,0,2,2,1,1,2,0,2,0,0,1,2
1,1,2,2,0,2,0,2,0,1,3,2,3,0,0,3,0,0,0
1,2,2,1,2,3,2,2,1,1,2,2,2,1,1,2,3,1,1
2,2,1,1,2,2,1,0,3,1,0,0,1,2,1,0,0,2,3
1,1,3,1,1,2,1,3,1,1,2,1,1,1,0,3,3,0,0
2,2,1,0,3,0,3,0,2,3,0,0,0,2,2,0,1,2,3
2,2,3,1,2,3,0,1,2,2,1,1,1,2,2,3,1,2,2
1,1,2,0,1,2,0,0,1,1,0,0,0,1,0,1,0,1,1
2,1,2,1,2,2,3,2,1,2,1,2,3,1,1,3,2,1,0
2,2,1,0,2,3,1,0,2,2,1,0,1,1,1,2,0,3,3
1,2,3,1,2,2,0,1,1,2,1,2,1,0,1,2,2,1,1
2,1,1,2,1,1,0,0,1,2,1,1,1,2,1,0,0,2,2
3,2,1,0,3,1,3,0,2,2,0,0,0,1,1,0,0,3,2
2,2,1,0,2,1,1,0,2,2,1,0,0,2,1,1,0,1,2
1,1,3,1,1,3,0,1,1,0,3,1,3,0,0,2,2,2,2
3,2,1,0,2,1,3,0,2,2,1,0,0,2,3,1,0,3,3
1,2,1,0,2,0,1,1,2,2,1,0,0,2,1,1,0,2,2
1,1,3,1,1,2,0,1,0,2,3,0,2,0,0,2,0,1,0
0,1,2,1,1,2,1,1,0,1,3,1,1,0,1,2,0,1,1
3,2,0,0,2,1,1,0,2,2,1,0,0,2,2,1,0,2,2
1,2,3,1,1,3,2,3,1,1,3,3,1,0,1,3,0,1,1
2,2,0,0,2,0,2,0,2,1,0,0,0,2,1,0,0,1,2
1,0,2,1,1,1,0,2,1,2,0,1,0,1,1,2,0,1,1
1,1,2,2,2,1,1,1,2,3,1,0,0,1,2,1,0,2,2
2,2,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,2,2
2,1,0,0,2,1,1,1,2,0,1,0,1,2,1,1,0,2,2
0,1,2,2,1,2,0,3,1,2,3,3,3,0,1,3,3,1,0
1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2
2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,2
2,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,0,2,2
0,0,2,2,1,2,0,1,1,2,3,0,0,0,1,2,2,1,1
1,2,1,0,2,1,1,1,2,1,1,0,1,3,1,1,1,2,2
1,2,0,1,2,2,1,1,1,3,1,2,1,1,2,1,1,2,2
1,2,2,1,3,1,3,1,1,3,2,2,0,0,1,1,2,2,2
2,2,0,0,2,1,2,0,2,3,0,1,0,3,2,0,0,3,3
1,0,1,1,1,3,1,2,1,2,1,1,3,1,1,3,1,1,1
1,0,2,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1
2,1,1,1,2,2,2,1,2,2,1,0,1,2,2,2,0,2,2
1,0,3,3,1,3,0,3,0,2,3,3,3,1,0,3,3,1,1
3,2,1,1,2,1,2,1,1,2,1,1,0,2,2,1,0,2,2
1,2,2,0,2,3,1,1,0,1,3,1,0,0,1,2,0,1,1
1,2,3,1,2,1,0,3,3,3,1,1,0,1,3,1,0,2,2
2,2,1,0,3,1,2,0,2,2,0,0,0,2,2,0,0,2,2
2,2,1,1,1,0,1,1,2,2,0,0,0,1,2,1,0,2,2
1,2,2,2,0,3,2,2,1,1,1,2,1,1,0,2,2,2,2
1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2
1,1,2,3,0,2,1,3,0,1,2,1,2,0,0,2,1,1,1
3,2,0,0,2,1,3,0,3,2,0,0,0,2,2,0,0,2,2
1,1,2,0,2,3,1,2,1,2,0,0,0,1,1,3,1,2,2
3,2,0,0,2,0,2,0,3,2,1,0,0,3,3,1,2,3,3
2,2,2,1,2,0,1,2,1,2,3,0,0,1,2,1,2,2,1
1,1,2,2,1,2,1,3,1,1,2,2,2,0,1,2,2,0,1
1,1,2,0,1,3,1,0,2,1,1,0,0,1,1,0,1,1,1
1,1,2,1,1,3,1,2,1,3,3,1,3,1,1,2,0,2,2
1,1,2,0,2,1,0,1,2,0,1,2,1,0,1,1,2,1,2
1,3,0,1,3,1,2,1,3,3,0,1,0,1,1,2,1,3,3
0,1,3,2,1,0,0,1,0,2,0,1,1,0,0,0,1,1,1
1,1,2,1,1,3,1,2,1,1,1,1,3,1,0,2,1,1,1
1,0,3,2,1,2,0,2,1,1,2,2,3,0,0,2,1,1,0
1,1,2,1,0,0,0,0,0,2,1,1,2,1,1,1,0,0,2
1,2,1,0,2,1,2,1,2,2,1,0,0,2,2,1,0,1,2
1,2,1,1,1,3,2,1,1,3,1,0,3,1,1,2,2,2,2
1,2,3,2,2,1,0,1,1,3,2,2,1,0,3,1,1,1,2
1,1,2,1,1,2,1,0,0,1,2,0,0,1,1,2,0,1,1
1,1,2,0,2,2,2,0,2,1,2,2,2,0,1,1,0,1,2
0,0,2,2,0,3,0,2,0,0,2,2,2,0,1,2,2,1,0
2,2,2,0,2,1,1,1,2,2,2,0,1,1,2,1,2,2,2
1,1,1,0,2,1,1,1,1,2,1,0,0,2,2,1,0,1,2
1,1,2,1,1,1,0,0,1,1,1,0,0,1,2,1,0,2,1
1,2,2,1,3,1,3,1,1,3,2,2,0,0,1,1,2,2,2
3,3,0,0,3,1,1,1,3,3,1,0,0,3,3,1,0,3,3
1,2,1,0,2,2,1,1,1,2,1,1,1,1,1,1,0,1,2
3,3,1,1,3,1,3,0,3,3,0,0,0,3,3,0,0,3,3
1,2,1,1,2,3,2,2,2,0,2,1,2,2,1,2,0,1,1
1,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,0,1,1
1,2,2,0,2,0,2,0,2,2,1,0,0,1,2,2,0,1,1
1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,0,1,2
1,2,1,1,2,2,2,1,2,2,1,2,2,1,3,1,0,2,3
3,2,0,0,2,1,0,1,2,2,0,0,1,1,1,1,0,2,2
2,2,1,0,2,0,1,0,2,2,1,1,2,1,2,1,1,1,2
1,1,1,0,2,2,3,2,1,1,0,1,1,1,1,2,1,1,1
1,2,1,1,1,0,2,1,1,2,1,1,1,1,1,2,1,1,1
1,2,1,2,1,2,1,3,1,1,1,0,2,0,1,1,2,1,1
1,2,2,1,1,1,0,1,2,2,1,0,1,0,1,1,1,2,2
1,3,1,0,2,1,1,0,3,3,0,0,1,1,2,2,0,3,3
1,1,1,0,1,2,1,0,2,1,0,0,0,1,0,1,0,2,3
1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0
1,1,2,1,1,2,0,1,1,1,1,0,0,1,1,2,0,1,1
1,1,3,2,1,3,0,3,1,1,2,2,1,1,1,2,1,2,1
1,0,2,1,1,3,1,2,2,0,3,3,2,0,1,3,3,1,2
1,1,2,1,1,1,1,2,1,0,2,1,0,0,0,2,2,1,1
3,3,1,0,3,1,2,0,3,3,0,0,0,2,3,1,0,3,3
1,1,2,1,1,0,1,1,1,2,1,0,1,1,1,2,0,1,1
1,1,2,2,1,1,3,2,1,1,2,1,0,0,2,2,0,1,1
2,2,1,0,1,1,1,0,1,2,1,0,0,1,1,1,0,1,1
1,2,3,1,2,3,0,2,3,2,2,3,3,0,0,1,0,1,2
2,2,1,2,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1
1,0,3,2,0,1,0,2,1,0,1,0,0,2,0,1,0,1,2
1,2,1,0,2,2,1,0,2,1,0,0,2,1,2,3,0,2,2
2,0,1,0,2,3,1,3,1,0,3,1,2,1,1,3,0,2,2
1,1,2,2,2,1,1,2,1,1,1,0,1,1,1,1,0,1,1
1,1,1,0,1,1,3,0,1,2,0,0,0,2,2,2,2,2,2
3,1,0,0,1,1,1,0,1,2,0,0,0,1,1,0,0,2,2
2,2,0,0,2,1,3,1,1,1,0,0,2,2,2,1,0,1,2
1,1,1,2,0,0,2,1,1,0,1,1,2,1,2,2,2,1,1
3,2,1,0,2,1,3,0,2,2,1,0,0,2,3,1,0,3,3
1,1,3,1,1,3,0,2,0,2,2,2,1,0,1,2,2,1,1
2,3,1,0,2,1,2,0,3,2,0,1,1,3,2,0,0,3,3
2,1,2,1,2,2,1,1,2,1,1,0,1,1,2,1,1,2,2
1,2,1,2,2,2,1,1,1,1,0,2,2,1,1,2,2,1,1
2,3,1,2,3,0,2,2,2,3,0,0,0,1,1,0,0,2,2
2,2,0,1,3,0,1,1,3,3,1,1,0,2,3,1,1,2,3
1,1,1,0,1,2,0,1,2,2,2,0,0,1,1,2,2,2,2
2,2,1,0,2,1,3,0,2,2,1,0,0,1,1,0,0,1,2
0,0,1,3,0,2,0,2,0,1,2,3,0,1,0,3,0,1,1
1,0,2,1,0,3,0,3,0,0,2,2,1,0,0,2,1,0,0
1,2,1,0,2,1,0,0,2,1,1,1,0,1,2,0,0,1,2
2,2,1,0,2,1,2,0,2,2,0,0,0,2,2,0,0,2,2
1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2
2,2,1,2,1,2,1,2,1,1,2,1,1,0,1,2,1,1,1
2,1,2,0,3,0,2,0,1,1,1,0,0,3,2,0,1,1,1
2,3,0,1,2,3,1,1,2,2,2,1,3,1,1,2,1,1,2
2,3,1,0,2,1,2,0,3,2,1,1,1,2,2,1,1,3,3
0,1,1,1,2,2,0,1,1,1,1,0,1,1,2,1,1,1,2
2,1,0,0,2,1,1,0,2,2,0,0,0,2,2,1,0,2,3
2,1,0,1,2,0,2,0,2,3,0,1,0,3,2,1,0,1,2
1,1,2,2,2,3,0,1,1,0,2,2,2,1,0,2,2,1,0
2,1,3,1,1,2,3,1,3,1,2,1,0,2,1,1,2,2,2
1,0,2,1,0,2,0,2,1,0,3,2,0,0,1,2,1,1,1
1,1,2,1,1,2,0,2,1,0,3,2,2,0,1,2,1,1,0
1,1,2,1,2,1,1,0,2,2,2,0,1,0,1,2,1,1,2
1,1,1,1,2,1,1,2,1,1,1,1,0,1,1,1,0,1,1
1,1,0,0,2,0,0,1,0,2,1,1,1,0,2,1,1,1,1
3,3,0,0,3,0,0,0,3,3,0,0,0,3,3,0,0,3,3
1,2,1,0,2,1,0,1,3,2,1,0,1,1,2,2,1,3,2
2,2,1,1,2,2,1,2,1,2,1,0,2,1,1,1,0,2,2
1,1,2,1,2,2,1,1,1,1,2,1,0,1,1,1,0,1,1
0,1,3,1,0,1,3,1,0,1,3,1,1,0,0,3,1,1,0
2,2,1,0,2,1,1,0,1,2,1,0,0,1,1,1,1,1,2
1,1,2,1,1,2,0,2,1,1,2,1,2,1,1,2,2,1,1
1,1,2,2,2,1,1,1,2,3,1,0,0,1,2,1,0,2,2
1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1
2,3,0,0,2,1,2,0,2,2,0,0,0,2,1,1,0,2,3
2,2,0,1,1,1,0,0,0,2,1,0,0,2,1,1,0,1,2
1,2,2,2,1,3,1,3,1,2,1,1,2,1,0,2,2,1,2
2,2,0,0,2,1,2,0,2,2,0,0,0,1,2,1,0,1,2
3,2,1,0,3,1,2,1,2,2,0,0,0,2,2,1,0,2,2
2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,0,2,2
1,2,1,1,2,2,2,1,2,2,1,0,0,2,2,1,0,2,2
1,0,1,1,0,3,0,1,1,1,1,1,2,0,0,2,0,1,1
3,1,1,0,2,1,2,0,2,2,1,0,0,3,1,1,0,1,2
1,3,1,2,1,2,1,2,2,2,1,0,1,2,2,2,1,1,2
2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,0,2,2
2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,3,2
2,2,1,1,2,1,2,0,2,3,2,0,0,2,2,0,0,3,3
2,1,1,0,2,1,3,1,2,1,0,1,1,2,1,1,0,2,2
0,1,2,1,1,1,2,1,3,2,2,2,0,0,1,1,0,1,2
3,3,0,0,2,1,0,0,2,1,0,1,0,3,3,0,1,2,2
1,2,3,1,2,0,1,2,1,2,3,3,0,2,2,0,3,2,2
1,2,0,1,2,0,0,1,1,2,1,1,0,1,1,2,1,2,2
2,2,1,0,2,0,1,1,2,2,1,0,0,2,2,0,1,1,2
2,1,1,0,2,3,2,1,2,1,1,0,0,1,1,3,2,1,2
